Sequence ID,Description,Query ID,Target ID,Coverage,Percent Identity,Length,Mismatch,Gap Open,Query Start,Query End,Target Start,Target End,Strandedness,E-Value,Bit Score,Classification
PFFEJNAA_00723_723,PFFEJNAA_00723_723 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00388_388,PFFEJNAA_00388_388 50S ribosomal protein L34,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00521_521,PFFEJNAA_00521_521 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00377_377,PFFEJNAA_00377_377 IS3 family transposase ISStin5,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00165_165,PFFEJNAA_00165_165 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00064_64,PFFEJNAA_00064_64 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00215_215,PFFEJNAA_00215_215 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00673_673,PFFEJNAA_00673_673 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00551_551,PFFEJNAA_00551_551 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00141_141,PFFEJNAA_00141_141 Ribonuclease J 2,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00527_527,PFFEJNAA_00527_527 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00607_607,PFFEJNAA_00607_607 Enolase,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00015_15,PFFEJNAA_00015_15 Phenylalanine--tRNA ligase alpha subunit,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00276_276,PFFEJNAA_00276_276 DNA-binding protein HU,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00519_519,PFFEJNAA_00519_519 Transcription elongation factor GreA,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00202_202,PFFEJNAA_00202_202 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00315_315,PFFEJNAA_00315_315 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00364_364,PFFEJNAA_00364_364 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00692_692,PFFEJNAA_00692_692 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00129_129,PFFEJNAA_00129_129 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00055_55,PFFEJNAA_00055_55 Type-1 restriction enzyme R protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00167_167,PFFEJNAA_00167_167 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00216_216,PFFEJNAA_00216_216 50S ribosomal protein L33 1,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00176_176,PFFEJNAA_00176_176 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00320_320,PFFEJNAA_00320_320 Zinc-transporting ATPase,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00604_604,PFFEJNAA_00604_604 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00695_695,PFFEJNAA_00695_695 putative ABC transporter ATP-binding protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00130_130,PFFEJNAA_00130_130 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00001_1,PFFEJNAA_00001_1 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00155_155,PFFEJNAA_00155_155 Carboxypeptidase 1,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00491_491,PFFEJNAA_00491_491 Vitamin B12 import ATP-binding protein BtuD,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00497_497,PFFEJNAA_00497_497 Acetate kinase,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00300_300,PFFEJNAA_00300_300 Putative NAD(P)H nitroreductase YodC,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00413_413,PFFEJNAA_00413_413 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00275_275,PFFEJNAA_00275_275 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00394_394,PFFEJNAA_00394_394 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00373_373,PFFEJNAA_00373_373 Transcription antitermination protein NusB,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00030_30,PFFEJNAA_00030_30 tRNA-Gly(tcc),N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00128_128,PFFEJNAA_00128_128 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00389_389,PFFEJNAA_00389_389 Putative aminopeptidase YsdC,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00118_118,PFFEJNAA_00118_118 50S ribosomal protein L17,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00352_352,PFFEJNAA_00352_352 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00113_113,PFFEJNAA_00113_113 Translation initiation factor IF-1,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00293_293,PFFEJNAA_00293_293 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00713_713,PFFEJNAA_00713_713 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00144_144,PFFEJNAA_00144_144 Lipoate-protein ligase LplJ,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00228_228,PFFEJNAA_00228_228 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00674_674,PFFEJNAA_00674_674 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00535_535,PFFEJNAA_00535_535 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00271_271,PFFEJNAA_00271_271 NAD-dependent malic enzyme,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00421_421,PFFEJNAA_00421_421 UvrABC system protein A,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00583_583,PFFEJNAA_00583_583 Oligopeptide transport ATP-binding protein OppD,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00699_699,PFFEJNAA_00699_699 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00226_226,PFFEJNAA_00226_226 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00471_471,PFFEJNAA_00471_471 tRNA-Met(cat),N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00047_47,PFFEJNAA_00047_47 30S ribosomal protein S7,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00620_620,PFFEJNAA_00620_620 Calcium-transporting ATPase 1,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00581_581,PFFEJNAA_00581_581 Putrescine export system ATP-binding protein SapF,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00662_662,PFFEJNAA_00662_662 Glutamine transport system permease protein GlnP,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00270_270,PFFEJNAA_00270_270 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00260_260,PFFEJNAA_00260_260 Protein translocase subunit SecA,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00609_609,PFFEJNAA_00609_609 Pyruvate kinase,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00621_621,PFFEJNAA_00621_621 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00462_462,PFFEJNAA_00462_462 23S ribosomal RNA (partial),N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00640_640,PFFEJNAA_00640_640 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00245_245,PFFEJNAA_00245_245 tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00591_591,PFFEJNAA_00591_591 Ribosome-binding ATPase YchF,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00690_690,PFFEJNAA_00690_690 ATP-dependent DNA helicase PcrA,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00475_475,PFFEJNAA_00475_475 tRNA-Asp(gtc),N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00423_423,PFFEJNAA_00423_423 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00658_658,PFFEJNAA_00658_658 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00603_603,PFFEJNAA_00603_603 Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00349_349,PFFEJNAA_00349_349 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00120_120,PFFEJNAA_00120_120 Energy-coupling factor transporter ATP-binding protein EcfA2,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00624_624,PFFEJNAA_00624_624 Cold shock protein CspA,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00502_502,PFFEJNAA_00502_502 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00175_175,PFFEJNAA_00175_175 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00161_161,PFFEJNAA_00161_161 Ribosomal large subunit pseudouridine synthase D,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00209_209,"PFFEJNAA_00209_209 2',3'-cyclic-nucleotide 2'-phosphodiesterase",N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00694_694,PFFEJNAA_00694_694 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00516_516,PFFEJNAA_00516_516 Alanine--tRNA ligase,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00709_709,PFFEJNAA_00709_709 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00212_212,PFFEJNAA_00212_212 Cytidylate kinase,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00302_302,PFFEJNAA_00302_302 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00545_545,PFFEJNAA_00545_545 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00546_546,PFFEJNAA_00546_546 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00367_367,PFFEJNAA_00367_367 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00194_194,PFFEJNAA_00194_194 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00069_69,PFFEJNAA_00069_69 50S ribosomal protein L27,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00142_142,PFFEJNAA_00142_142 Holliday junction resolvase RecU,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00449_449,PFFEJNAA_00449_449 Phosphatidylserine decarboxylase proenzyme,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00599_599,PFFEJNAA_00599_599 Ribosomal large subunit pseudouridine synthase B,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00578_578,PFFEJNAA_00578_578 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00115_115,PFFEJNAA_00115_115 30S ribosomal protein S13,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00272_272,PFFEJNAA_00272_272 Cytosol aminopeptidase,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00626_626,PFFEJNAA_00626_626 tRNA-Gly(gcc),N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00681_681,PFFEJNAA_00681_681 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00489_489,PFFEJNAA_00489_489 CCA-adding enzyme,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00060_60,PFFEJNAA_00060_60 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00022_22,PFFEJNAA_00022_22 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00026_26,PFFEJNAA_00026_26 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00401_401,PFFEJNAA_00401_401 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00051_51,PFFEJNAA_00051_51 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00274_274,PFFEJNAA_00274_274 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00180_180,PFFEJNAA_00180_180 Glutathione transport system permease protein GsiD,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00457_457,PFFEJNAA_00457_457 Valine--tRNA ligase,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00187_187,PFFEJNAA_00187_187 Integration host factor subunit alpha,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00668_668,PFFEJNAA_00668_668 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00203_203,PFFEJNAA_00203_203 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00448_448,PFFEJNAA_00448_448 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00528_528,PFFEJNAA_00528_528 Cysteine desulfurase SufS,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00671_671,PFFEJNAA_00671_671 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00446_446,PFFEJNAA_00446_446 Nucleoid-associated protein YbaB,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00504_504,PFFEJNAA_00504_504 Lon protease 1,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00224_224,PFFEJNAA_00224_224 Polyribonucleotide nucleotidyltransferase,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
PFFEJNAA_00655_655,PFFEJNAA_00655_655 hypothetical protein,N/A,No Phytoplasma sequence matches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not a Phytoplasma sequence
